,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
0,0.8819444444444444,RegCSP+shLDA,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
1,0.8333333333333334,RegCSP+shLDA,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
2,0.8472222222222223,CSP+optSVM,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
3,0.8402777777777778,CSP+optSVM,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
4,0.8680555555555556,FgMDM,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
5,0.7291666666666666,FgMDM,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
6,0.8819444444444444,ensemble-noDR,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
7,0.8958333333333334,cov+elasticnet,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
8,0.7291666666666667,imcoh+elasticnet,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
9,0.8888888888888888,instantaneous+elasticnet,22,0,1,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
10,0.8263888888888888,ensemble-noDR,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
11,0.8263888888888888,cov+elasticnet,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
12,0.7222222222222222,imcoh+elasticnet,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
13,0.7916666666666667,instantaneous+elasticnet,22,0,1,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
14,0.5694444444444444,RegCSP+shLDA,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
15,0.4930555555555555,RegCSP+shLDA,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
16,0.5694444444444444,CSP+optSVM,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
17,0.5069444444444444,CSP+optSVM,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
18,0.5763888888888888,FgMDM,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
19,0.5138888888888888,FgMDM,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
20,0.625,ensemble-noDR,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
21,0.6041666666666666,cov+elasticnet,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
22,0.5347222222222222,imcoh+elasticnet,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
23,0.6319444444444444,instantaneous+elasticnet,22,0,2,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
24,0.5208333333333334,ensemble-noDR,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
25,0.5,cov+elasticnet,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
26,0.5416666666666666,imcoh+elasticnet,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
27,0.5347222222222222,instantaneous+elasticnet,22,0,2,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
28,0.9444444444444444,RegCSP+shLDA,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
29,0.8680555555555556,RegCSP+shLDA,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
30,0.9513888888888888,CSP+optSVM,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
31,0.8819444444444444,CSP+optSVM,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
32,0.9652777777777778,FgMDM,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
33,0.9097222222222222,FgMDM,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
34,0.9652777777777778,ensemble-noDR,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
35,0.9236111111111112,cov+elasticnet,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
36,0.6944444444444444,imcoh+elasticnet,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
37,0.8472222222222222,instantaneous+elasticnet,22,0,3,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
38,0.875,ensemble-noDR,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
39,0.8680555555555556,cov+elasticnet,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
40,0.6736111111111112,imcoh+elasticnet,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
41,0.8958333333333333,instantaneous+elasticnet,22,0,3,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
42,0.6666666666666666,RegCSP+shLDA,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
43,0.7638888888888888,RegCSP+shLDA,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
44,0.625,CSP+optSVM,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
45,0.75,CSP+optSVM,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
46,0.7708333333333334,FgMDM,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
47,0.7777777777777777,FgMDM,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
48,0.7152777777777777,ensemble-noDR,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
49,0.7777777777777778,cov+elasticnet,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
50,0.5069444444444444,imcoh+elasticnet,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
51,0.6319444444444444,instantaneous+elasticnet,22,0,4,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
52,0.75,ensemble-noDR,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
53,0.7569444444444444,cov+elasticnet,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
54,0.5069444444444444,imcoh+elasticnet,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
55,0.6944444444444444,instantaneous+elasticnet,22,0,4,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
56,0.6319444444444444,RegCSP+shLDA,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
57,0.6597222222222222,RegCSP+shLDA,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
58,0.6180555555555556,CSP+optSVM,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
59,0.6319444444444444,CSP+optSVM,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
60,0.6597222222222223,FgMDM,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
61,0.5416666666666666,FgMDM,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
62,0.7638888888888888,ensemble-noDR,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
63,0.6319444444444444,cov+elasticnet,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
64,0.5277777777777778,imcoh+elasticnet,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
65,0.7569444444444444,instantaneous+elasticnet,22,0,5,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
66,0.75,ensemble-noDR,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
67,0.513888888888889,cov+elasticnet,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
68,0.5763888888888888,imcoh+elasticnet,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
69,0.75,instantaneous+elasticnet,22,0,5,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
70,0.6388888888888888,RegCSP+shLDA,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
71,0.75,RegCSP+shLDA,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
72,0.6527777777777778,CSP+optSVM,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
73,0.75,CSP+optSVM,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
74,0.7222222222222222,FgMDM,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
75,0.8055555555555556,FgMDM,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
76,0.7638888888888888,ensemble-noDR,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
77,0.7361111111111112,cov+elasticnet,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
78,0.6736111111111112,imcoh+elasticnet,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
79,0.7013888888888888,instantaneous+elasticnet,22,0,6,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
80,0.7361111111111112,ensemble-noDR,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
81,0.7430555555555556,cov+elasticnet,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
82,0.5416666666666667,imcoh+elasticnet,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
83,0.7638888888888888,instantaneous+elasticnet,22,0,6,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
84,0.7291666666666667,RegCSP+shLDA,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
85,0.7083333333333333,RegCSP+shLDA,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
86,0.7013888888888888,CSP+optSVM,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
87,0.7013888888888888,CSP+optSVM,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
88,0.5972222222222222,FgMDM,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
89,0.7222222222222222,FgMDM,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
90,0.6944444444444444,ensemble-noDR,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
91,0.5833333333333334,cov+elasticnet,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
92,0.5833333333333334,imcoh+elasticnet,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
93,0.7361111111111112,instantaneous+elasticnet,22,0,7,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
94,0.6944444444444444,ensemble-noDR,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
95,0.6944444444444444,cov+elasticnet,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
96,0.5972222222222222,imcoh+elasticnet,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
97,0.7430555555555556,instantaneous+elasticnet,22,0,7,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
98,0.9583333333333333,RegCSP+shLDA,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
99,0.9305555555555556,RegCSP+shLDA,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
100,0.9722222222222223,CSP+optSVM,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
101,0.9166666666666667,CSP+optSVM,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
102,0.9375,FgMDM,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
103,0.9166666666666666,FgMDM,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
104,0.9722222222222222,ensemble-noDR,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
105,0.9722222222222222,cov+elasticnet,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
106,0.7361111111111112,imcoh+elasticnet,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
107,0.9444444444444444,instantaneous+elasticnet,22,0,8,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
108,0.9513888888888888,ensemble-noDR,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
109,0.9583333333333333,cov+elasticnet,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
110,0.7152777777777777,imcoh+elasticnet,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
111,0.9305555555555556,instantaneous+elasticnet,22,0,8,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
112,0.8611111111111112,RegCSP+shLDA,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
113,0.7152777777777778,RegCSP+shLDA,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
114,0.8888888888888888,CSP+optSVM,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
115,0.6805555555555556,CSP+optSVM,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
116,0.7916666666666666,FgMDM,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
117,0.6805555555555556,FgMDM,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
118,0.8611111111111112,ensemble-noDR,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
119,0.8611111111111112,cov+elasticnet,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
120,0.7291666666666666,imcoh+elasticnet,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
121,0.875,instantaneous+elasticnet,22,0,9,session_E,22,1,defaultBand,001-2014,8,35,288,0.0
122,0.7152777777777778,ensemble-noDR,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
123,0.7638888888888888,cov+elasticnet,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
124,0.548611111111111,imcoh+elasticnet,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
125,0.6458333333333333,instantaneous+elasticnet,22,0,9,session_T,22,1,defaultBand,001-2014,8,35,288,0.0
