,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
0,0.985,RegCSP+shLDA,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
1,0.64,RegCSP+shLDA,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
2,0.9650000000000001,CSP+optSVM,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
3,0.53,CSP+optSVM,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
4,0.98,FgMDM,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
5,0.99,FgMDM,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
6,0.98,ensemble-noDR,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
7,0.98,cov+elasticnet,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
8,0.655,imcoh+elasticnet,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
9,0.985,instantaneous+elasticnet,13,0,1,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
10,0.975,ensemble-noDR,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
11,0.975,cov+elasticnet,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
12,0.72,imcoh+elasticnet,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
13,0.97,instantaneous+elasticnet,13,0,1,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
14,0.48,RegCSP+shLDA,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
15,0.965,RegCSP+shLDA,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
16,0.575,CSP+optSVM,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
17,0.955,CSP+optSVM,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
18,0.95,FgMDM,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
19,0.9450000000000001,FgMDM,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
20,0.95,ensemble-noDR,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
21,0.95,cov+elasticnet,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
22,0.88,imcoh+elasticnet,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
23,0.9450000000000001,instantaneous+elasticnet,13,0,2,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
24,0.955,ensemble-noDR,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
25,0.96,cov+elasticnet,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
26,0.815,imcoh+elasticnet,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
27,0.9299999999999999,instantaneous+elasticnet,13,0,2,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
28,0.86,RegCSP+shLDA,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
29,0.9199999999999999,RegCSP+shLDA,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
30,0.895,CSP+optSVM,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
31,0.885,CSP+optSVM,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
32,0.8200000000000001,FgMDM,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
33,0.71,FgMDM,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
34,0.9,ensemble-noDR,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
35,0.915,cov+elasticnet,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
36,0.5,imcoh+elasticnet,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
37,0.745,instantaneous+elasticnet,13,0,3,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
38,0.77,ensemble-noDR,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
39,0.815,cov+elasticnet,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
40,0.54,imcoh+elasticnet,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
41,0.675,instantaneous+elasticnet,13,0,3,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
42,0.855,RegCSP+shLDA,13,0,4,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
43,0.825,RegCSP+shLDA,13,0,4,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
44,0.855,CSP+optSVM,13,0,4,session_A,13,1,defaultBand,001-2015,8,35,400,0.0
45,0.905,CSP+optSVM,13,0,4,session_B,13,1,defaultBand,001-2015,8,35,400,0.0
