,Unnamed: 0,diversity,feature,FP+FN,nb_trials,subj,rel_diversity,pot_improv
0,0,0.0,cov,81,200,S12-sess0,0.0,0.0
1,1,54.32098765432099,imcoh,81,200,S12-sess0,0.6706294772138394,0.2716049382716049
2,2,27.160493827160494,instantaneous,81,200,S12-sess0,0.3353147386069197,0.13580246913580246
3,3,58.0246913580247,plv,81,200,S12-sess0,0.7163542142966012,0.29012345679012347
4,4,44.44444444444444,wpli2_debiased,81,200,S12-sess0,0.5486968449931413,0.2222222222222222
5,5,56.79012345679012,pli,81,200,S12-sess0,0.7011126352690138,0.2839506172839506
6,6,50.617283950617285,aec,81,200,S12-sess0,0.6249047401310776,0.25308641975308643
7,7,0.0,cov,83,200,S12-sess1,0.0,0.0
8,8,61.44578313253012,imcoh,83,200,S12-sess1,0.7403106401509653,0.3072289156626506
9,9,27.710843373493976,instantaneous,83,200,S12-sess1,0.3338655828131804,0.13855421686746988
10,10,51.80722891566265,plv,83,200,S12-sess1,0.6241834809115981,0.25903614457831325
11,11,55.42168674698795,wpli2_debiased,83,200,S12-sess1,0.6677311656263608,0.27710843373493976
12,12,44.57831325301205,pli,83,200,S12-sess1,0.5370881114820729,0.22289156626506024
13,13,51.80722891566265,aec,83,200,S12-sess1,0.6241834809115981,0.25903614457831325
