,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.8125,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
1,0.71875,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
2,0.71875,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
3,0.84375,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
4,0.78125,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
5,0.75,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
6,0.6875,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
7,0.71875,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
8,0.8125,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
9,0.8125,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
10,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
11,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
12,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
13,0.90625,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
14,0.6875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
15,0.71875,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
16,0.78125,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
17,0.46875,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
18,0.65625,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
19,0.8125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
20,0.71875,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
21,0.53125,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
22,0.8125,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
23,0.78125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
24,0.75,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
25,0.53125,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
26,0.78125,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
27,0.9375,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
28,0.9375,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
29,0.65625,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
30,0.875,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,3
31,0.8125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,4
