,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.8125,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
1,0.75,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
2,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
3,0.71875,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
4,0.78125,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
5,0.46875,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
6,0.65625,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,0
7,0.71875,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
8,0.6875,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
9,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
10,0.8125,ensemble-noDR,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
11,0.71875,cov+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
12,0.53125,imcoh+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
13,0.8125,instantaneous+elasticnet,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,1
14,0.71875,RegCSP+shLDA,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
15,0.71875,CSP+optSVM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
16,0.71875,FgMDM,15,0,1,session_0,15,1,defaultBand,002-2014,8,35,160,0.0,2
