,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.5,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
1,0.4375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
2,0.4375,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
3,0.4375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
4,0.375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
5,0.3125,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
6,0.5,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
7,0.3125,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
8,0.4375,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
9,0.5,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
10,0.375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
11,0.5625,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
12,0.75,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
13,0.25,imcoh+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
14,0.25,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
15,0.5,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
16,0.375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
17,0.4375,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
18,0.625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
19,0.5625,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
20,0.4375,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
21,0.5625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
22,0.25,imcoh+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
23,0.4375,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
24,0.5625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
25,0.4375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
26,0.4375,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
27,0.4375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
28,0.375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
29,0.5625,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
30,0.5,ensemble-DR,26,0.0,2,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
31,0.4375,imcoh+DR+elasticnet,5,0.05,2,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
32,0.5625,instantaneous+DR+elasticnet,7,0.05,2,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
