,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.5625,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
1,0.6875,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
2,0.75,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
3,0.5,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
4,0.5,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
5,0.5625,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
6,0.5,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
7,0.5,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
8,0.4375,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
9,0.5625,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
10,0.5,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
11,0.4375,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
12,0.375,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
13,0.4375,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
14,0.5,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
15,0.5,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
16,0.5625,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
17,0.75,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
18,0.75,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
19,0.5,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
20,0.625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
21,0.375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
22,0.4375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
23,0.4375,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
24,0.625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
25,0.375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
26,0.375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
27,0.3125,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
28,0.5,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
29,0.625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
30,0.3125,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
31,0.4375,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
32,0.4375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
33,0.5625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
34,0.375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
35,0.5625,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
36,0.5625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
37,0.4375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
38,0.25,imcoh+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
39,0.25,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
40,0.625,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
41,0.375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
42,0.4375,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
43,0.5,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
44,0.3125,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
45,0.375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
46,0.625,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
47,0.375,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
48,0.5,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
49,0.625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
50,0.3125,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
51,0.5,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
52,0.25,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
53,0.5625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
54,0.375,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
55,0.625,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
56,0.625,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
57,0.4375,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
58,0.4375,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
59,0.25,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
60,0.5,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
61,0.5,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
62,0.625,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
63,0.3125,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
64,0.5625,TRCSP+LDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
65,0.4375,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
66,0.5,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
67,0.5,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
68,0.5,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
69,0.5625,RegCSP+shLDA,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
70,0.5,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
71,0.4375,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
72,0.5,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
73,0.5,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
74,0.4375,CSP+optSVM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
75,0.6875,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
76,0.5,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
77,0.3125,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
78,0.4375,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
79,0.5,FgMDM,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
80,0.4375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
81,0.625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
82,0.375,imcoh+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
83,0.4375,instantaneous+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
84,0.4375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
85,0.5625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
86,0.5625,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
87,0.4375,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
88,0.6875,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
89,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
90,0.25,imcoh+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
91,0.4375,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
92,0.625,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
93,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
94,0.4375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
95,0.4375,instantaneous+DR+elasticnet,7,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
96,0.375,ensemble-DR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
97,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
98,0.375,imcoh+DR+elasticnet,5,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
99,0.5625,instantaneous+DR+elasticnet,2,0.05,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
100,0.3125,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
101,0.625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
102,0.375,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
103,0.5,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,0
104,0.4375,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
105,0.5625,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
106,0.4375,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
107,0.5,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,1
108,0.5625,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
109,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
110,0.5,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
111,0.3125,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,2
112,0.3125,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
113,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
114,0.625,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
115,0.5,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,3
116,0.6875,ensemble-noDR,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
117,0.3125,cov+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
118,0.625,imcoh+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
119,0.375,instantaneous+elasticnet,26,0.0,1,session_0,26,1,defaultBand,004-2015,8,35,80,0.0,4
120,0.625,TRCSP+LDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,0
121,0.375,TRCSP+LDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,1
122,0.5,TRCSP+LDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,2
123,0.4375,TRCSP+LDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,3
124,0.625,TRCSP+LDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,4
125,0.3125,RegCSP+shLDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,0
126,0.3125,RegCSP+shLDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,1
127,0.375,RegCSP+shLDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,2
128,0.375,RegCSP+shLDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,3
129,0.4375,RegCSP+shLDA,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,4
130,0.4375,CSP+optSVM,25,0.0,2,session_0,25,1,defaultBand,004-2015,8,35,80,0.0,0
