,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.8,0.6,0.8,TRCSP+LDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
1,0.775,0.55,0.7749999999999999,RegCSP+shLDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
2,0.825,0.65,0.825,CSP+optSVM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
3,0.8,0.6,0.8,FgMDM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
4,0.8,0.6,0.8,ensemble-DR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
5,0.8,0.6,0.8,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
6,0.75,0.5,0.75,imcoh+DR+elasticnet,6,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
7,0.6749999999999999,0.35,0.675,plv+DR+elasticnet,12,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
8,0.5750000000000001,0.15000000000000002,0.575,wpli2_debiased+DR+elasticnet,12,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
9,0.7250000000000001,0.44999999999999996,0.7250000000000001,instantaneous+DR+elasticnet,19,0.05,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
10,0.7499999999999999,0.5,0.75,ensemble-noDR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
11,0.8,0.6,0.8,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
12,0.625,0.25,0.625,imcoh+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
13,0.675,0.35,0.675,plv+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
14,0.75,0.5,0.75,wpli2_debiased+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
15,0.7749999999999999,0.55,0.7749999999999999,instantaneous+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
16,0.6499999999999999,0.30000000000000004,0.6499999999999999,TRCSP+LDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
17,0.7499999999999999,0.5,0.75,RegCSP+shLDA,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
18,0.7749999999999999,0.55,0.775,CSP+optSVM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
19,0.825,0.65,0.825,FgMDM,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
20,0.8,0.6,0.8,ensemble-DR,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
21,0.825,0.65,0.825,cov+elasticnet,64,0.0,1,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
