,score,kappa,accuracy,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.875,0.75,0.875,TRCSP+LDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
1,0.975,0.95,0.975,RegCSP+shLDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
2,0.975,0.95,0.975,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
3,0.95,0.9,0.95,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
4,0.975,0.95,0.975,ensemble-noDR_best,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
5,0.975,0.95,0.975,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
6,0.75,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
7,0.75,0.5,0.75,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
8,0.625,0.25,0.625,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
9,0.9,0.8,0.9,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
10,0.925,0.85,0.925,ensemble-noDR_2,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
11,0.9,0.8,0.9,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
12,0.7249999999999999,0.44999999999999996,0.725,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
13,0.9249999999999999,0.85,0.925,ensemble-noDR_3,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
14,0.9,0.8,0.9,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
15,0.7249999999999999,0.44999999999999996,0.725,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
16,0.75,0.5,0.75,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
17,0.9249999999999999,0.85,0.925,ensemble-noDR_4,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
18,0.9,0.8,0.9,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
19,0.75,0.5,0.75,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
20,0.75,0.5,0.75,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
21,0.625,0.25,0.625,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,0
22,0.9249999999999999,0.85,0.925,TRCSP+LDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
23,0.975,0.95,0.975,RegCSP+shLDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
24,0.95,0.9,0.95,CSP+optSVM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
25,1.0,1.0,1.0,FgMDM,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
26,1.0,1.0,1.0,ensemble-noDR_best,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
27,1.0,1.0,1.0,cov+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
28,0.6749999999999999,0.35,0.675,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
29,0.7249999999999999,0.44999999999999996,0.725,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
30,0.65,0.30000000000000004,0.65,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
31,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
32,0.95,0.9,0.95,ensemble-noDR_2,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
33,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
34,0.6749999999999999,0.35,0.675,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
35,0.975,0.95,0.975,ensemble-noDR_3,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
36,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
37,0.6499999999999999,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
38,0.7249999999999999,0.44999999999999996,0.725,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
39,0.975,0.95,0.975,ensemble-noDR_4,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
40,0.95,0.9,0.95,instantaneous+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
41,0.6499999999999999,0.30000000000000004,0.6499999999999999,imcoh+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
42,0.7,0.4,0.7,plv+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
43,0.65,0.30000000000000004,0.65,wpli2_debiased+elasticnet,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,1
44,0.825,0.65,0.825,TRCSP+LDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
45,0.9500000000000001,0.9,0.95,RegCSP+shLDA,64,0,14,session_0,64,1,defaultBand,Cho2017,8,35,200,0.0,2
