,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline
0,0.771,21.363157,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,imcoh+elasticnet
1,0.887,21.276644,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,imcoh+elasticnet
2,0.495,21.348824,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,imcoh+elasticnet
3,0.773,21.255917,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,imcoh+elasticnet
4,0.619,10.294986,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,imcoh+elasticnet
5,0.7275,21.011938,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,imcoh+elasticnet
6,0.5989583,23.189426,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,imcoh+elasticnet
7,0.4645,20.675209,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,imcoh+elasticnet
8,0.528,21.15851,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,imcoh+elasticnet
9,0.4835,21.179417,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,imcoh+elasticnet
10,0.801,21.13261,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,coh+elasticnet
11,0.8315,15.543309,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,coh+elasticnet
12,0.893,21.08901,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,coh+elasticnet
13,0.911,21.098806,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,coh+elasticnet
14,0.7645,9.977542,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,coh+elasticnet
15,0.517,20.787102,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,coh+elasticnet
16,0.52708334,19.540285,240.0,8.0,35.0,0.0,64.0,7,session_0,64,1,Cho2017,coh+elasticnet
17,0.418,16.032738,200.0,8.0,35.0,0.0,64.0,17,session_0,64,1,Cho2017,coh+elasticnet
18,0.506,21.009832,200.0,8.0,35.0,0.0,64.0,40,session_0,64,1,Cho2017,coh+elasticnet
19,0.4965,13.737127,200.0,8.0,35.0,0.0,64.0,38,session_0,64,1,Cho2017,coh+elasticnet
20,0.647,21.015947,200.0,8.0,35.0,0.0,64.0,14,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
21,0.657,18.532734,200.0,8.0,35.0,0.0,64.0,43,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
22,0.6035,16.969088,200.0,8.0,35.0,0.0,64.0,50,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
23,0.6905,18.620232,200.0,8.0,35.0,0.0,64.0,35,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
24,0.554,20.4529,200.0,8.0,35.0,0.0,64.0,3,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
25,0.5795,20.545868,200.0,8.0,35.0,0.0,64.0,29,session_0,64,1,Cho2017,wpli2_debiased+elasticnet
