,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.5625,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
1,0.578125,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
2,0.828125,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
3,0.75,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
4,0.71875,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
5,0.375,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
6,0.546875,plv+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
7,0.34375,wpli2_debiased+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
8,0.625,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,0
9,0.671875,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
10,0.65625,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
11,0.734375,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
12,0.796875,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
13,0.828125,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
14,0.359375,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
15,0.421875,plv+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
16,0.4375,wpli2_debiased+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
17,0.78125,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,1
18,0.65625,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
19,0.640625,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
20,0.75,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
21,0.796875,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
22,0.8125,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
23,0.375,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
24,0.515625,plv+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
25,0.390625,wpli2_debiased+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
26,0.6875,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,2
27,0.640625,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,3
28,0.625,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,320,0.0,3
