,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.875,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
1,0.84375,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
2,0.9375,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
3,0.8125,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
4,0.875,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
5,0.625,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
6,0.75,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
7,0.84375,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
8,0.875,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
9,0.84375,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
10,0.9375,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
11,0.90625,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
12,0.53125,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
13,0.9375,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
14,0.8125,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
15,0.75,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
16,0.71875,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
17,0.8125,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
18,0.8125,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
19,0.40625,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
20,0.75,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
21,0.8125,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
22,0.8125,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
23,0.78125,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
24,0.875,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
25,0.84375,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
26,0.40625,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
27,0.75,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
28,0.84375,RegCSP+shLDA,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
29,0.875,CSP+optSVM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
30,0.6875,FgMDM,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
31,0.75,ensemble-noDR,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
32,0.875,cov+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
33,0.5625,imcoh+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
34,0.8125,instantaneous+elasticnet,60,0,1,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
35,0.71875,RegCSP+shLDA,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
36,0.75,CSP+optSVM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
37,0.71875,FgMDM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
38,0.75,ensemble-noDR,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
39,0.84375,cov+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
40,0.5,imcoh+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
41,0.75,instantaneous+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
42,0.75,RegCSP+shLDA,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
43,0.78125,CSP+optSVM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
44,0.78125,FgMDM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
45,0.90625,ensemble-noDR,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
46,0.875,cov+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
47,0.65625,imcoh+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
48,0.75,instantaneous+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
49,0.8125,RegCSP+shLDA,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
50,0.8125,CSP+optSVM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
51,0.875,FgMDM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
52,0.84375,ensemble-noDR,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
53,0.875,cov+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
54,0.5625,imcoh+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
55,0.625,instantaneous+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
56,0.65625,RegCSP+shLDA,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
57,0.6875,CSP+optSVM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
58,0.78125,FgMDM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
59,0.84375,ensemble-noDR,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
60,0.84375,cov+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
61,0.65625,imcoh+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
62,0.8125,instantaneous+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,3
63,0.53125,RegCSP+shLDA,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
64,0.625,CSP+optSVM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
65,0.84375,FgMDM,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
66,0.90625,ensemble-noDR,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
67,0.9375,cov+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
68,0.53125,imcoh+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
69,0.71875,instantaneous+elasticnet,60,0,2,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,4
70,0.6875,RegCSP+shLDA,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
71,0.6875,CSP+optSVM,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
72,0.71875,FgMDM,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
73,0.75,ensemble-noDR,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
74,0.78125,cov+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
75,0.53125,imcoh+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
76,0.625,instantaneous+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,0
77,0.78125,RegCSP+shLDA,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
78,0.78125,CSP+optSVM,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
79,0.84375,FgMDM,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
80,0.875,ensemble-noDR,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
81,0.84375,cov+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
82,0.65625,imcoh+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
83,0.625,instantaneous+elasticnet,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,1
84,0.8125,RegCSP+shLDA,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
85,0.78125,CSP+optSVM,60,0,3,session_0,60,1,defaultBand,Weibo-2014,8,35,160,0.0,2
