,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time
0,0.6785310734463277,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
1,0.7,RegCSP+shLDA,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
2,0.52,RegCSP+shLDA,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
3,0.6788135593220339,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
4,0.71,CSP+optSVM,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
5,0.5800000000000001,CSP+optSVM,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
6,0.7744350282485876,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
7,0.49,FgMDM,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
8,0.89,FgMDM,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
9,0.8231638418079097,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
10,0.8059322033898305,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
11,0.5892655367231638,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
12,0.7656779661016949,instantaneous+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,319,0.0
13,0.52,ensemble-noDR,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
14,0.54,cov+elasticnet,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
15,0.5900000000000001,imcoh+elasticnet,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
16,0.5,instantaneous+elasticnet,14,0,1,session_1,14,1,defaultBand,Zhou-2016,8,35,319,0.0
17,0.85,ensemble-noDR,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
18,0.84,cov+elasticnet,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
19,0.5900000000000001,imcoh+elasticnet,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
20,0.84,instantaneous+elasticnet,14,0,1,session_2,14,1,defaultBand,Zhou-2016,8,35,319,0.0
21,0.51,RegCSP+shLDA,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
22,0.5111111111111111,RegCSP+shLDA,14,0,2,session_1,14,1,defaultBand,Zhou-2016,8,35,290,0.0
23,0.5,RegCSP+shLDA,14,0,2,session_2,14,1,defaultBand,Zhou-2016,8,35,290,0.0
24,0.53,CSP+optSVM,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
25,0.5333333333333333,CSP+optSVM,14,0,2,session_1,14,1,defaultBand,Zhou-2016,8,35,290,0.0
26,0.51,CSP+optSVM,14,0,2,session_2,14,1,defaultBand,Zhou-2016,8,35,290,0.0
27,0.79,FgMDM,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
28,0.6333333333333333,FgMDM,14,0,2,session_1,14,1,defaultBand,Zhou-2016,8,35,290,0.0
29,0.6,FgMDM,14,0,2,session_2,14,1,defaultBand,Zhou-2016,8,35,290,0.0
30,0.74,ensemble-noDR,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
31,0.78,cov+elasticnet,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
32,0.5,imcoh+elasticnet,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
33,0.72,instantaneous+elasticnet,14,0,2,session_0,14,1,defaultBand,Zhou-2016,8,35,290,0.0
34,0.611111111111111,ensemble-noDR,14,0,2,session_1,14,1,defaultBand,Zhou-2016,8,35,290,0.0
