,score,pipeline,n_dr,thres,subject,session,channels,n_sessions,FreqBand,dataset,fmin,fmax,samples,time,split
0,0.8333333333333333,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
1,0.8333333333333333,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
2,0.8333333333333334,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
3,0.875,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
4,0.875,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
5,0.5416666666666667,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
6,0.7916666666666667,instantaneous+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,0
7,0.75,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
8,0.6666666666666667,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
9,0.7916666666666667,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
10,0.875,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
11,0.8333333333333333,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
12,0.5833333333333333,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
13,0.7916666666666666,instantaneous+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,1
14,0.7916666666666666,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
15,0.7916666666666667,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
16,0.875,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
17,0.8333333333333333,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
18,0.8333333333333333,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
19,0.5833333333333334,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
20,0.7916666666666667,instantaneous+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,2
21,0.7083333333333334,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
22,0.6666666666666666,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
23,0.7916666666666666,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
24,0.875,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
25,0.875,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
26,0.5,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
27,0.875,instantaneous+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,3
28,0.8257575757575758,RegCSP+shLDA,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
29,0.875,CSP+optSVM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
30,0.9090909090909092,FgMDM,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
31,0.9583333333333333,ensemble-noDR,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
32,0.9583333333333333,cov+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
33,0.46969696969696967,imcoh+elasticnet,14,0,1,session_0,14,1,defaultBand,Zhou-2016,8,35,119,0.0,4
