,diversity,feature,FP+FN,nb_trials,subj
0,0.0,cov,5,90,S4-sess0
1,40.0,imcoh,5,90,S4-sess0
2,40.0,instantaneous,5,90,S4-sess0
3,40.0,plv,5,90,S4-sess0
4,60.0,wpli2_debiased,5,90,S4-sess0
5,60.0,pli,5,90,S4-sess0
6,60.0,aec,5,90,S4-sess0
7,0.0,cov,23,100,S4-sess1
8,30.434782608695656,imcoh,23,100,S4-sess1
9,39.130434782608695,instantaneous,23,100,S4-sess1
10,52.17391304347826,plv,23,100,S4-sess1
11,56.52173913043478,wpli2_debiased,23,100,S4-sess1
12,34.78260869565217,pli,23,100,S4-sess1
13,47.82608695652174,aec,23,100,S4-sess1
14,0.0,cov,14,100,S4-sess2
15,64.28571428571429,imcoh,14,100,S4-sess2
16,42.857142857142854,instantaneous,14,100,S4-sess2
17,28.57142857142857,plv,14,100,S4-sess2
18,42.857142857142854,wpli2_debiased,14,100,S4-sess2
19,35.714285714285715,pli,14,100,S4-sess2
20,71.42857142857143,aec,14,100,S4-sess2
