,Unnamed: 0,diversity,feature,FP+FN,nb_trials,subj,rel_diversity,pot_improv
0,0,0.0,cov,5,90,S4-sess0,0.0,0.0
1,1,40.0,imcoh,5,90,S4-sess0,8.0,0.4444444444444444
2,2,40.0,instantaneous,5,90,S4-sess0,8.0,0.4444444444444444
3,3,40.0,plv,5,90,S4-sess0,8.0,0.4444444444444444
4,4,60.0,wpli2_debiased,5,90,S4-sess0,12.0,0.6666666666666666
5,5,60.0,pli,5,90,S4-sess0,12.0,0.6666666666666666
6,6,60.0,aec,5,90,S4-sess0,12.0,0.6666666666666666
7,7,0.0,cov,23,100,S4-sess1,0.0,0.0
8,8,30.434782608695656,imcoh,23,100,S4-sess1,1.3232514177693764,0.30434782608695654
9,9,39.130434782608695,instantaneous,23,100,S4-sess1,1.7013232514177694,0.391304347826087
10,10,52.17391304347826,plv,23,100,S4-sess1,2.268431001890359,0.5217391304347826
11,11,56.52173913043478,wpli2_debiased,23,100,S4-sess1,2.4574669187145557,0.5652173913043478
12,12,34.78260869565217,pli,23,100,S4-sess1,1.5122873345935728,0.34782608695652173
13,13,47.82608695652174,aec,23,100,S4-sess1,2.079395085066163,0.4782608695652174
14,14,0.0,cov,14,100,S4-sess2,0.0,0.0
15,15,64.28571428571429,imcoh,14,100,S4-sess2,4.591836734693878,0.6428571428571429
16,16,42.85714285714285,instantaneous,14,100,S4-sess2,3.0612244897959178,0.4285714285714285
17,17,28.57142857142857,plv,14,100,S4-sess2,2.0408163265306123,0.2857142857142857
18,18,42.85714285714285,wpli2_debiased,14,100,S4-sess2,3.0612244897959178,0.4285714285714285
19,19,35.714285714285715,pli,14,100,S4-sess2,2.5510204081632653,0.35714285714285715
20,20,71.42857142857143,aec,14,100,S4-sess2,5.1020408163265305,0.7142857142857143
