,score,time,samples,fmin,fmax,thres,n_dr,subject,session,channels,n_sessions,dataset,pipeline,FreqBand
0,0.5905,10.166559,200.0,2.0,4.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
1,0.95,10.2427635,200.0,2.0,4.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
2,0.983,10.048445,200.0,2.0,4.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
3,0.4485,10.066731,200.0,2.0,4.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
4,0.5515,10.021474,200.0,2.0,4.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
5,0.4835,10.231519,200.0,2.0,4.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
6,0.54756945,9.842227,240.0,2.0,4.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
7,0.448,10.211829,200.0,2.0,4.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
8,0.452,10.232309,200.0,2.0,4.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
9,0.44,9.73196,200.0,2.0,4.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,imcoh+elasticnet,delta
10,0.4205,5.478437,200.0,2.0,4.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
11,0.69,4.9739046,200.0,2.0,4.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
12,0.923,5.110025,200.0,2.0,4.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
13,0.46,5.180104,200.0,2.0,4.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
14,0.6065,5.0160785,200.0,2.0,4.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
15,0.5295,5.562247,200.0,2.0,4.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
16,0.40833333,5.5564766,240.0,2.0,4.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
17,0.6005,5.380091,200.0,2.0,4.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
18,0.531,5.1512876,200.0,2.0,4.0,0.0,64.0,40.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
19,0.467,4.7463875,200.0,2.0,4.0,0.0,64.0,38.0,session_0,64.0,1.0,Cho2017,plv+elasticnet,delta
20,0.5495,5.634095,200.0,2.0,4.0,0.0,64.0,14.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
21,0.8125,9.622013,200.0,2.0,4.0,0.0,64.0,43.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
22,0.713,9.521298,200.0,2.0,4.0,0.0,64.0,50.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
23,0.595,5.636306,200.0,2.0,4.0,0.0,64.0,35.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
24,0.475,8.261153,200.0,2.0,4.0,0.0,64.0,3.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
25,0.422,6.5393677,200.0,2.0,4.0,0.0,64.0,29.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
26,0.48194444,6.6528087,240.0,2.0,4.0,0.0,64.0,7.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
27,0.5075,9.761865,200.0,2.0,4.0,0.0,64.0,17.0,session_0,64.0,1.0,Cho2017,wpli2_debiased+elasticnet,delta
